URL,Title,Description,Keywords,Title Exists (True/False),Description Exists (True/False),Keywords Exists (True/False)
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/onkologicheskie_zabolevaniya,Онкологические заболевания,"Статья описывает различные виды новообразований, включая эпителиальные, соединительнотканные и сосудистые опухоли. Рассматриваются особенности их роста, расположения и возможности метастазирования. Также обсуждаются методы диагностики и лечения рака.",,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/dobrokachestvennie_opuholi,Доброкачественные опухоли,"Доброкачественные опухоли: причины возникновения, типы, симптомы и современные методы лечения. Узнайте больше о диагностике и профилактике доброкачественных образований.",,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/zlokachestvennie_opuholi,Злокачественные опухоли,"Злокачественные опухоли: причины, классификация, симптомы и современные методы лечения. Узнайте больше о диагностике и прогнозе онкологических заболеваний.",,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/osnovnie_fakti_o_rake,Основные факты о раке,"Основные факты о раке: происхождение названия, механизм распространения, факторы риска и наиболее опасные виды рака. Вы знали, что рак является второй из основных причин смерти в мире.",,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/stadii_razvitiya_onkologicheskogo_zabolevaniya,Стадии развития онкологического заболевания,Пошаговый обзор стадий развития онкологического заболевания: от начальной стадии до метастатической. Понимание этапов помогает в выборе эффективного лечения и улучшении прогноза.,,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/shkola-pacienta/obuslovlennaya-opuholyu-utomlyaemost,Обусловленная опухолью утомляемость,"Утомляемость у онкологических больных — состояние более тяжелое. Для повышения качества жизни врач может давать рекомендации по режиму активности, питанию и медикаментозной терапии.",,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/shkola-pacienta/vyzvannyj-himioterapiej-stomatit,Вызванный химиотерапией стоматит,Вызванный химиотерапией стоматит. Наиболее часто при поражениях полости рта даются рекомендации по диете и гигиене ротовой полости.,,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/shkola-pacienta/vizvannaya_himioterapiei_diareya,Вызванная химиотерапией диарея,"Узнайте всё о диарее, возникающей вследствие химиотерапии. Причины, симптомы, методы лечения и рекомендации по уходу за собой во время курса терапии.",,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii/shkola-pacienta,Школа пациента,"Школа пациента. Разбираемся, как справиться с неприятными симптомами после и во время лечения онкологического заболевания.",,True,True,False
https://onco.zdrav.mosreg.ru/chto_nuzhno_znat_ob_onkologii,Об онкологии,"Онкологические заболевания – это обширная группа патологий, которая характеризуется образованием опухолей различной локализации и размера из клеток эпителия разных органов любых систем организма.",,True,True,False
